2024-06-02 20:00:00,986 - Temperature: 950.0, Current Energy: 7609239.322148558, Best Energy: 7609239.322148558
2024-06-02 20:00:01,048 - Temperature: 902.5, Current Energy: 7609239.322148558, Best Energy: 7628778.2177303955
2024-06-02 20:00:01,120 - Temperature: 857.375, Current Energy: 7609239.322148558, Best Energy: 7628778.2177303955
2024-06-02 20:00:01,188 - Temperature: 814.5062499999999, Current Energy: 7609239.322148558, Best Energy: 7628806.303547462
2024-06-02 20:00:01,258 - Temperature: 773.7809374999998, Current Energy: 7609239.322148558, Best Energy: 7628806.303547462
2024-06-02 20:00:01,329 - Temperature: 735.0918906249998, Current Energy: 7609239.322148558, Best Energy: 7628806.303547462
2024-06-02 20:00:01,392 - Temperature: 698.3372960937497, Current Energy: 7609239.322148558, Best Energy: 7628806.303547462
2024-06-02 20:00:01,459 - Temperature: 663.4204312890622, Current Energy: 7609239.322148558, Best Energy: 7628806.303547462
2024-06-02 20:00:01,518 - Temperature: 630.2494097246091, Current Energy: 7609239.322148558, Best Energy: 7628806.303547462
2024-06-02 20:00:01,577 - Temperature: 598.7369392383787, Current Energy: 7609239.322148558, Best Energy: 7628725.184461272
2024-06-02 20:00:01,639 - Temperature: 568.8000922764597, Current Energy: 7609239.322148558, Best Energy: 7628725.184461272
2024-06-02 20:00:01,705 - Temperature: 540.3600876626367, Current Energy: 7609239.322148558, Best Energy: 7628703.1531990925
2024-06-02 20:00:01,787 - Temperature: 513.3420832795049, Current Energy: 7609239.322148558, Best Energy: 7632481.974206446
2024-06-02 20:00:01,850 - Temperature: 487.6749791155296, Current Energy: 7609239.322148558, Best Energy: 7632481.974206446
2024-06-02 20:00:01,911 - Temperature: 463.29123015975307, Current Energy: 7609239.322148558, Best Energy: 7632490.297969455
2024-06-02 20:00:01,974 - Temperature: 440.1266686517654, Current Energy: 7609239.322148558, Best Energy: 7632758.099978907
2024-06-02 20:00:02,033 - Temperature: 418.1203352191771, Current Energy: 7609239.322148558, Best Energy: 7632758.099978907
2024-06-02 20:00:02,107 - Temperature: 397.2143184582182, Current Energy: 7609239.322148558, Best Energy: 7632758.099978907
2024-06-02 20:00:02,175 - Temperature: 377.3536025353073, Current Energy: 7609239.322148558, Best Energy: 7632758.099978907
2024-06-02 20:00:02,247 - Temperature: 358.4859224085419, Current Energy: 7609239.322148558, Best Energy: 7632736.260518785
2024-06-02 20:00:02,316 - Temperature: 340.5616262881148, Current Energy: 7609239.322148558, Best Energy: 7632736.260518785
2024-06-02 20:00:02,379 - Temperature: 323.533544973709, Current Energy: 7609239.322148558, Best Energy: 7632736.260518785
2024-06-02 20:00:02,439 - Temperature: 307.35686772502356, Current Energy: 7609239.322148558, Best Energy: 7632736.260518785
2024-06-02 20:00:02,507 - Temperature: 291.98902433877237, Current Energy: 7609239.322148558, Best Energy: 7632736.260518785
2024-06-02 20:00:02,571 - Temperature: 277.38957312183373, Current Energy: 7609239.322148558, Best Energy: 7683685.04639263
2024-06-02 20:00:02,638 - Temperature: 263.52009446574203, Current Energy: 7609239.322148558, Best Energy: 7683685.04639263
2024-06-02 20:00:02,701 - Temperature: 250.3440897424549, Current Energy: 7609239.322148558, Best Energy: 7683685.04639263
2024-06-02 20:00:02,758 - Temperature: 237.82688525533214, Current Energy: 7609239.322148558, Best Energy: 7710502.823043924
2024-06-02 20:00:02,815 - Temperature: 225.93554099256554, Current Energy: 7609239.322148558, Best Energy: 7710502.823043924
2024-06-02 20:00:02,872 - Temperature: 214.63876394293726, Current Energy: 7609239.322148558, Best Energy: 7710502.823043924
2024-06-02 20:00:02,929 - Temperature: 203.9068257457904, Current Energy: 7609239.322148558, Best Energy: 7710502.823043924
2024-06-02 20:00:02,986 - Temperature: 193.71148445850088, Current Energy: 7609239.322148558, Best Energy: 7740502.823043924
2024-06-02 20:00:03,043 - Temperature: 184.02591023557582, Current Energy: 7609239.322148558, Best Energy: 7740333.879861599
2024-06-02 20:00:03,095 - Temperature: 174.82461472379703, Current Energy: 7609239.322148558, Best Energy: 7737039.672185394
2024-06-02 20:00:03,155 - Temperature: 166.08338398760716, Current Energy: 7609239.322148558, Best Energy: 7737039.672185394
2024-06-02 20:00:03,212 - Temperature: 157.7792147882268, Current Energy: 7609239.322148558, Best Energy: 7737061.40145948
2024-06-02 20:00:03,269 - Temperature: 149.89025404881545, Current Energy: 7609239.322148558, Best Energy: 7737061.40145948
2024-06-02 20:00:03,329 - Temperature: 142.39574134637468, Current Energy: 7609239.322148558, Best Energy: 7674608.843182939
2024-06-02 20:00:03,384 - Temperature: 135.27595427905592, Current Energy: 7609239.322148558, Best Energy: 7674621.192290617
2024-06-02 20:00:03,444 - Temperature: 128.5121565651031, Current Energy: 7609239.322148558, Best Energy: 7674755.091018306
2024-06-02 20:00:03,503 - Temperature: 122.08654873684794, Current Energy: 7609239.322148558, Best Energy: 7674755.091018306
2024-06-02 20:00:03,563 - Temperature: 115.98222130000555, Current Energy: 7609239.322148558, Best Energy: 7719083.959295125
2024-06-02 20:00:03,621 - Temperature: 110.18311023500526, Current Energy: 7609239.322148558, Best Energy: 7719077.4281745795
2024-06-02 20:00:03,683 - Temperature: 104.673954723255, Current Energy: 7609239.322148558, Best Energy: 7719077.4281745795
2024-06-02 20:00:03,740 - Temperature: 99.44025698709224, Current Energy: 7609239.322148558, Best Energy: 7719077.4281745795
2024-06-02 20:00:03,798 - Temperature: 94.46824413773763, Current Energy: 7609239.322148558, Best Energy: 7719077.4281745795
2024-06-02 20:00:03,847 - Temperature: 89.74483193085074, Current Energy: 7609239.322148558, Best Energy: 7719080.684656575
2024-06-02 20:00:03,900 - Temperature: 85.25759033430819, Current Energy: 7609239.322148558, Best Energy: 7719080.684656575
2024-06-02 20:00:03,954 - Temperature: 80.99471081759278, Current Energy: 7609239.322148558, Best Energy: 7719080.684656575
2024-06-02 20:00:04,009 - Temperature: 76.94497527671314, Current Energy: 7609239.322148558, Best Energy: 7719099.706407417
2024-06-02 20:00:04,064 - Temperature: 73.09772651287747, Current Energy: 7609239.322148558, Best Energy: 7668418.354130622
2024-06-02 20:00:04,121 - Temperature: 69.4428401872336, Current Energy: 7609239.322148558, Best Energy: 7668418.354130622
2024-06-02 20:00:04,179 - Temperature: 65.97069817787191, Current Energy: 7609239.322148558, Best Energy: 7747159.458324323
2024-06-02 20:00:04,236 - Temperature: 62.67216326897831, Current Energy: 7609239.322148558, Best Energy: 7747159.458324323
2024-06-02 20:00:04,294 - Temperature: 59.53855510552939, Current Energy: 7609239.322148558, Best Energy: 7747159.458324323
2024-06-02 20:00:04,358 - Temperature: 56.56162735025292, Current Energy: 7609239.322148558, Best Energy: 7747159.458324323
2024-06-02 20:00:04,413 - Temperature: 53.733545982740274, Current Energy: 7609239.322148558, Best Energy: 7730893.108269938
2024-06-02 20:00:04,469 - Temperature: 51.04686868360326, Current Energy: 7609239.322148558, Best Energy: 7730877.436779634
2024-06-02 20:00:04,524 - Temperature: 48.49452524942309, Current Energy: 7609239.322148558, Best Energy: 7730877.436779634
2024-06-02 20:00:04,580 - Temperature: 46.06979898695194, Current Energy: 7609239.322148558, Best Energy: 7730813.406820672
2024-06-02 20:00:04,634 - Temperature: 43.76630903760434, Current Energy: 7609239.322148558, Best Energy: 7615632.869990193
2024-06-02 20:00:04,692 - Temperature: 41.577993585724116, Current Energy: 7609239.322148558, Best Energy: 7615632.869990193
2024-06-02 20:00:04,748 - Temperature: 39.499093906437906, Current Energy: 7609239.322148558, Best Energy: 7627710.371838824
