Time (minutes),Cumulative Cost
0,509.975375081695
1,1019.9990760996782
2,1560.587495882429
3,2075.970259290554
4,2592.6160058998835
5,3107.140377381652
6,3638.4359231394264
7,4161.446378327871
8,4703.8255276074615
9,5209.6624517784985
10,5758.743680610775
11,6310.104092869407
12,6832.521175135696
13,7376.88600906793
14,7897.461804737131
15,8408.286587179033
16,8936.847748031867
17,9433.168836227145
18,9953.667189284044
19,10471.478676009292
20,10996.45150633753
21,11516.8605166288
22,12040.821521175956
23,12573.639981573651
24,13111.44777335427
25,13606.977273317898
26,14128.87546899615
27,14661.210142856457
28,15190.188087954995
29,15696.01149871099
30,16234.195555387114
31,16759.118045935422
32,17264.82464638444
33,17767.980768829435
34,18287.35985768168
35,18827.844976727356
36,19339.19907526723
37,19842.013481516933
38,20385.07735423433
39,20885.40912998844
40,21431.9619233758
41,21953.66445084413
42,22502.381848032685
43,23014.213451754316
44,23534.9491301283
45,24045.296240685897
46,24559.39598973641
47,25056.553631616247
48,25557.71126233047
49,26076.376949174606
50,26619.95108901423
51,27153.62710199603
52,27687.21883698995
53,28193.36753456411
54,28722.459090408967
55,29242.462180947827
56,29758.816700167303
57,30273.314993576285
58,30809.397867276908
59,31345.95247752856
60,31853.302353472827
61,32370.112825667726
62,32906.40333610558
63,33421.88066861931
64,33961.04355323734
65,34502.71613699164
66,35020.186855908
67,35569.06216861214
68,36114.26136738555
69,36646.50988218241
70,37159.17570734759
71,37692.15326658644
72,38216.203390975796
73,38753.58206065762
74,39313.94089122863
75,39835.31788485928
76,40352.48151953211
77,40866.1660862407
78,41379.64542576555
79,41922.04331320189
80,42433.200676241126
81,42950.5971825647
82,43477.31607723198
83,43995.1999279319
84,44543.122928230885
85,45056.4982490473
86,45579.03033806301
87,46120.904492458525
88,46645.114033084574
89,47165.67197897102
90,47727.77564856627
91,48247.46166092201
92,48796.5525737998
93,49316.056803172134
94,49848.88547236537
95,50394.57248249269
96,50912.05530231801
97,51455.70031265282
98,51962.15134791311
99,52520.75046281123
100,53055.31677262041
101,53596.919377059945
102,54122.31710535166
103,54636.97075098372
104,55159.29715389525
105,55685.025968272865
106,56238.96935766397
107,56775.17359528753
108,57321.869905904394
109,57864.10142084865
110,58406.55577837198
111,58948.43477231927
112,59472.68793724326
113,60013.16226370516
114,60553.294256060515
115,61051.54448188547
116,61565.73725753911
117,62089.44336282986
118,62620.97937710645
119,63160.964916733596
120,63719.94035571844
121,64243.94909731745
122,64808.49928672977
123,65353.94470149243
124,65876.74760807713
125,66412.36269091746
126,66974.63902374607
127,67492.38999805518
